Model,Method,mIoU,SMIYC RA-21,SMIYC RA-21,SMIYC RO-21,SMIYC RO-21,FS L&F,FS L&F,FS Static,FS Static,Road Anomaly,Road Anomaly
,,,AuPRC,FPR95,AuPRC,FPR95,AuPRC,FPR95,AuPRC,FPR95,AuPRC,FPR95
EoMT,MSP,68.10,30.42,94.19,0.37,16.39,13.01,58.19,43.46,71.36,15.45
EoMT,MaxLogit,67.56,31.59,94.23,0.36,16.38,12.78,58.37,46.92,70.82,15.06
EoMT,Max Entropy,68.23,30.62,94.28,0.35,18.69,12.83,57.01,43.78,73.43,14.69
EoMT,RbA,62.70,96.05,93.52,0.41,16.51,8.89,60.56,73.89,70.14,15.10
